ファイル名,左上x,左上y,左下x,左下y,右上x,右上y,右下x,右下y
0820-AQ-4-n-2.JPG,1854,404,1702,3194,4546,550,4508,3276
0821-1min-1-n.JPG,1212,1012,1270,3418,3550,1018,3584,3280
0821-1min-4-n.JPG,1138,759,1186,3476,3831,712,3897,3405
0822-1min-2-n.JPG,1041,87,906,3408,4318,33,4443,3498
0822-1min-3-n.JPG,1119,87,1146,3642,4545,153,4587,3522
0823-1min-5-n.JPG,1191,264,1200,3084,4056,264,4002,3102
0823-1min-8-n.JPG,774,218,876,3392,4060,162,4068,3336
0824-1min-6-n.JPG,1216,634,1344,3232,3844,530,3928,3130
0824-1min-7-n.JPG,1534,566,1466,3290,4252,654,4168,3352
0925-1-1.JPG,1610,316,1522,3410,4520,488,4484,3376
0925-1-2.JPG,1214,497,1266,3314,4074,479,4058,3294
0925-1-3.JPG,1371,436,1293,3338,4245,486,4228,3393
0925-1-4.JPG,491,581,471,1922,1848,587,1813,1957
0925-4-1.JPG,1252,308,1226,3382,4302,376,4250,3392
0925-4-2.JPG,1080,380,1090,3249,3922,411,3921,3212
0925-4-3.JPG,686,249,722,3358,3777,290,3765,3309
0925-4-4.JPG,1006,566,996,2520,2978,620,2922,2574
0926-1.JPG,1482,892,1584,2918,3488,834,3568,2796
0926-4.JPG,1962,934,1954,3129,4170,942,4154,3140
0927-5.JPG,1482,484,1509,3198,4214,486,4192,3174
0927-8.JPG,962,348,966,2914,3531,370,3508,2910
